지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
108,2017-01-01,2.7,-1.6,540,6.9,1419,,,,,,,4.5,20,1050,2.8,50,2059,1.5,1333,-1.2,59,1342,75.9,5.6,1017.1,1031,928,1024.7,2315,1027.9,9.6,1.7,1300,.9,4.38,,,,,,7,7,.9,-5.1,.5,.6,1.8,2.7,3.8,7.1,10.2,15.7,17.5,.7,1,.3,
108,2017-01-02,5,1.8,2355,9.2,1355,2.08,,,,,.3,7,230,1606,4.2,250,1609,2.1,1843,1.3,57,1355,77.8,6.8,1011.8,1024.9,1,1020.5,1410,1022.5,9.6,2.7,1300,1.15,5.11,,,,,,7.6,6.9,4.8,-1.6,3.9,3,3,3.2,3.8,7,10.1,15.6,17.5,.9,1.2,,
108,2017-01-03,2,-2.3,731,7.7,1444,,,,,,,7.2,180,1438,4,250,1458,1.8,1575,-4.8,38,1254,61.8,4.3,1013.4,1026,858,1022.8,1725,1024.2,9.7,8.9,1200,1.53,8.51,,,,,,1.1,1.1,1.5,-6.8,2.6,3,3.5,4,4.5,6.9,9.9,15.5,17.4,1.3,1.8,,
108,2017-01-04,3.9,1,1,8.9,1519,,,,,,,6.5,290,1348,4,250,1429,1.7,1444,-4.8,31,1503,55,4.3,1013.2,1025.3,2358,1022.5,1419,1024,9.7,8.6,1200,1.48,8.68,,,,,,2.6,2.1,3,-4.4,3.4,3.3,3.6,4,4.5,6.9,9.8,15.4,17.4,1.5,2.2,,
108,2017-01-05,3.8,-.1,316,7.3,1444,,,,,,,9.4,50,1423,5.6,50,1553,3.1,2693,-5.1,42,943,52.3,4.2,1016.6,1028.6,2132,1025.3,1,1027.3,9.7,0,1300,.7,4.27,,,,,,8.4,1.3,2.4,-5.8,2.7,2.8,3.5,4.1,4.7,6.9,9.7,15.4,17.4,1.6,2.3,,
108,2017-01-06,5.4,2.5,804,11.4,1548,,,,,,,8.7,50,24,5.1,50,51,2.4,2053,-2.2,42,1506,58.5,5.2,1015.9,1028.9,918,1024.6,1540,1026.6,9.7,6,1200,1.55,7.04,,,,,,4.1,3.8,4.6,-3.4,4.5,4,4.1,4.3,4.8,6.9,9.7,15.3,17.3,1.3,1.8,,
108,2017-01-07,4.6,0,815,10.5,1327,,,,,,,5.3,290,1356,3,290,1402,1.4,1231,-1.7,46,1322,64.9,5.4,1010.9,1024.8,1,1018.7,1718,1021.5,9.7,7,1100,1.36,7.45,,,,,,3,1.3,3,-4.5,3.5,3.7,4.1,4.5,5,7,9.6,15.2,17.2,1.3,1.9,,
108,2017-01-08,6.5,4,458,10.9,1350,2.25,,,,,0,8,250,2012,4.9,270,2220,2.6,2271,-.6,45,1348,61.4,5.9,1003.9,1019.4,1,1011.9,1657,1014.5,9.7,2.9,1100,1.26,5.64,,,,,,8.1,6.3,5.7,1,5.3,4.7,4.6,4.8,5.2,7,9.5,15.1,17.2,1.3,1.9,0,
108,2017-01-09,1.5,-3.1,2357,4.3,1454,1.17,,,,,0,9.5,270,1246,5.8,290,1248,3.3,2815,-5.4,41,1608,60.8,4.2,1006.7,1020.8,2359,1013,42,1017.4,9.8,6.2,1300,1.49,7.29,,,,,,4.3,3.8,3.6,-5.2,4.4,4.7,5.1,5.4,5.7,7,9.5,15,17.2,1.3,1.8,,
108,2017-01-10,-3.7,-7.4,2349,1.1,1309,,,,,,,13.1,270,1409,7,290,1533,3.2,2760,-14.2,25,1607,45.1,2.1,1013.2,1027.9,2320,1020.8,1,1024.2,9.8,9.1,1300,1.6,8.99,,,,,,.8,.8,-1.3,-9.2,.8,2.1,3.6,4.6,5.3,7.2,9.5,14.9,17.2,1.5,2.2,,
108,2017-01-11,-3.8,-9.4,745,1.5,1405,,,,,,,9.3,290,1600,5.4,270,1521,2.1,1848,-16.7,24,937,36.4,1.8,1014.3,1028.8,229,1022.1,2358,1025.3,9.8,9.2,1200,1.64,9.47,,,,,,1.9,1.9,-2.2,-12.1,-.7,.8,2.4,3.6,4.5,7.1,9.4,14.8,17.1,1.4,1.9,0,
108,2017-01-12,-2.2,-6.1,2353,1,1355,1.67,,,,,0,12.1,290,1511,6.5,290,1516,3.1,2710,-13.9,21,1435,43.1,2.3,1007.6,1022.1,1,1016.4,1521,1018.5,9.8,8.6,1200,1.66,9.62,.1,215,.1,215,.1,2.1,2.1,-.4,-7.3,.4,.9,2.1,3.1,4.1,6.9,9.4,14.8,17.1,1.7,2.5,0,
108,2017-01-13,-6,-8.6,2250,-1.4,1500,3.42,,,,,.6,11,270,1527,7,270,1536,2.9,2489,-15.6,27,804,47.4,1.9,1006.9,1021.8,2348,1015,1412,1017.9,9.8,5.6,1200,1.76,8.18,1.5,1140,1.5,1140,1.6,1.8,1.8,-3.1,-10.1,-1.1,.4,1.8,2.8,3.8,6.7,9.4,14.7,17.1,1.2,1.7,.6,
108,2017-01-14,-8.4,-10.5,759,-5.4,1437,,,,,,,11.7,320,1420,7,290,1524,3.8,3314,-22,22,1349,33.3,1.1,1014.8,1029,2359,1021.5,9,1026,9.8,9.2,1200,1.81,10.7,,,,,,0,0,-5.5,-11.1,-2.4,-.3,1.3,2.4,3.4,6.5,9.3,14.6,17,1.4,1.9,,
